"SOUND","VOICING","SEGMENT","SEGMENT3","SEGMENT2","STOP","SEGMENT4","STIMULUS","GENERAL_TYPE","PLACE","TYPE","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","SpaceBar.keys","SpaceBar.rt","key_resp_2.keys","key_resp_2.rt","rating.response","rating.rt","participant","Gender","Age","frameRate","OtherLanguages","NativeLanguage","expName","date","X34"
"Recordings/tutu.wav","no","t","t","u","yes","u","tutu","Training","alveolar","TrainingItems",0,9,9,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/pata.wav","no","p","t","a","yes","a","pata","Training","bilabial","TrainingItems",0,10,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/fisu.wav","no","f","s","i","no","u","fisu","Training","bilabial","TrainingItems",0,11,11,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/vuva.wav","yes","v","v","u","no","a","vuva","Training","bilabial","TrainingItems",0,12,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/zizi.wav","yes","z","z","i","no","i","zizi","Training","alveolar","TrainingItems",0,13,13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/safu.wav","no","s","f","a","no","u","safu","Training","alveolar","TrainingItems",0,14,14,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/tapi.wav","no","t","p","a","yes","i","tapi","Training","alveolar","TrainingItems",0,15,15,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/tuti.wav","no","t","t","u","yes","i","tuti","Training","alveolar","TrainingItems",0,16,16,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/zavi.wav","yes","z","v","a","no","i","zavi","Training","alveolar","TrainingItems",0,17,17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
"Recordings/fasu.wav","no","f","s","a","no","u","fasu","Training","bilabial","TrainingItems",0,18,18,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,FALSE,20,59.9053638123,NA,"American English","VSH_Exp2","2016_Feb_23_1835",NA
